oid,osm_id,highway,access,start_date,active_years,abandoned_date,abandoned,surface
41533,592187614,service,,,,,,
41534,592187616,residential,,,,,,unpaved
41535,592187618,service,,,,,,
41536,592187619,service,,,,,,
41537,592187621,service,,,,,,
41538,592187622,service,,,,,,
41539,592187624,service,,,,,,
41540,592187626,service,,,,,,
41541,592187627,service,,,,,,
41542,592187629,service,,,,,,
41543,592187632,residential,,,,,,
41544,592187634,residential,,,,,,
41545,592187636,service,,,,,,
41546,592187638,service,,,,,,
41547,592187639,residential,,,,,,
41548,592187641,service,,,,,,
41549,592187644,service,,,,,,
41550,592187647,service,,,,,,
41551,592187650,service,,,,,,
41552,592187657,service,,,,,,
41553,592190386,unclassified,,,,,,unpaved
41554,592204461,unclassified,,,,,,unpaved
41555,592294998,tertiary,,,,,,asphalt
41556,592295000,tertiary,,,,,,asphalt
41557,592295001,tertiary,,,,,,asphalt
41558,592295002,tertiary,,,,,,asphalt
41559,592295003,secondary_link,,,,,,asphalt
41560,592295004,secondary,,before 2005,,,,asphalt
41561,592295005,secondary,,before 2005,,,,asphalt
41562,592295006,tertiary,,,,,,asphalt
41563,592295007,tertiary,,,,,,asphalt
41564,592295008,residential,,,,,,unpaved
41565,592295009,residential,,,,,,unpaved
41566,592295010,secondary,,,,,,asphalt
41567,592295011,secondary,,,,,,asphalt
41568,592295013,secondary,,before 2005,,,,asphalt
41569,592295014,secondary,,,,,,asphalt
41570,592295015,tertiary,,,,,,asphalt
41571,592462200,residential,,,,,,
41572,592462201,residential,,,,,,unpaved
41573,592462202,residential,,,,,,unpaved
41574,592462207,residential,,,,,,unpaved
41575,592462208,residential,,,,,,
41576,592462209,residential,,,,,,unpaved
41577,592462210,residential,,,,,,unpaved
41578,592462211,residential,,,,,,unpaved
41579,592462212,residential,,,,,,unpaved
41580,592462213,residential,,,,,,unpaved
41581,592462214,residential,,,,,,unpaved
41582,592462215,residential,,,,,,unpaved
41583,592462216,residential,,,,,,unpaved
41584,592462217,residential,,,,,,unpaved
41585,592462218,residential,,,,,,unpaved
41586,592462219,residential,,,,,,unpaved
41587,592462220,track,,,,,,
41588,592462221,residential,,,,,,unpaved
41589,592462222,residential,,,,,,unpaved
41590,592462223,residential,,,,,,unpaved
41591,592462224,residential,,,,,,unpaved
41592,592462225,residential,,,,,,unpaved
41593,592472521,unclassified,,,,,,unpaved
41594,592472539,residential,,,,,,unpaved
41595,592472552,track,,,,,,
41596,592472553,track,,,,,,
41597,592472564,unclassified,,,,,,
41598,592472566,residential,,,,,,unpaved
41599,592472568,track,,,,,,
41600,592472570,residential,,,,,,unpaved
41601,592472572,residential,,,,,,unpaved
41602,592472574,residential,,,,,,unpaved
41603,592472576,residential,,,,,,unpaved
41604,592472579,track,,,,,,
41605,592472582,residential,,,,,,unpaved
41606,592472584,residential,,,,,,unpaved
41607,592472586,residential,,,,,,unpaved
41608,592472589,residential,,,,,,unpaved
41609,592472597,residential,,,,,,unpaved
41610,592472600,unclassified,,,,,,unpaved
41611,592472620,residential,,,,,,unpaved
41612,592472622,residential,,,,,,unpaved
41613,592472624,residential,,,,,,unpaved
41614,592472626,residential,,,,,,unpaved
41615,592472628,residential,,,,,,unpaved
41616,592472649,residential,,,,,,unpaved
41617,592472650,track,,,,,,
41618,592472652,unclassified,,,,,,unpaved
41619,592472653,track,,,,,,
41620,592472660,secondary,,,,,,
41621,592863727,residential,,,,,,
41622,592863728,residential,,,,,,
41623,592863729,residential,,,,,,
41624,592863730,residential,,,,,,
41625,592863731,residential,,,,,,
41626,592863732,service,,,,,,
41627,592863733,track,,,,,,
41628,592863734,service,,,,,,
41629,592863735,track,,,,,,
41630,592863736,residential,,,,,,
41631,592863737,service,,,,,,
41632,592863738,residential,,,,,,
41633,592863739,path,,,,,,
41634,592863740,service,,,,,,
41635,592863741,residential,,,,,,
41636,592863742,residential,,,,,,
41637,592863743,service,,,,,,
41638,592863744,service,,,,,,
41639,592863745,service,,,,,,
41640,592863746,service,,,,,,
41641,592863747,path,,,,,,
41642,592863748,service,,,,,,
41643,593614610,unclassified,,,,,,unpaved
41644,593614611,service,,,,,,
41645,593614614,residential,,,,,,unpaved
41646,593614615,path,,,,,,
41647,593614616,path,,,,,,
41648,593614617,service,,,,,,
41649,593614618,service,,,,,,
41650,593614619,service,,,,,,
41651,593614620,service,,,,,,unpaved
41652,593614621,residential,,,,,,
41653,593614622,residential,,,,,,
41654,593614623,residential,,,,,,
41655,593614624,secondary,,,,,,unpaved
41656,593614625,service,,,,,,
41657,593614626,residential,,,,,,
41658,593996108,residential,,,,,,
41659,593996109,residential,,,,,,
41660,593996110,residential,,,,,,
41661,593996111,residential,,,,,,
41662,593996112,residential,,,,,,
41663,593996113,residential,,,,,,
41664,593996114,residential,,,,,,
41665,593996115,residential,,,,,,
41666,593996116,residential,,,,,,
41667,593996117,residential,,,,,,
41668,593996118,residential,,,,,,
41669,593996119,residential,,,,,,
41670,593996120,residential,,,,,,
41671,593996121,residential,,,,,,
41672,593996122,residential,,,,,,
41673,593996123,residential,,,,,,
41674,593996124,tertiary,,,,,,
41675,593996125,track,,,,,,
41676,593996126,residential,,,,,,
